abnormal,비정상의
advise,"충고하다, 조언하다"
arrrival,도착
beard,턱수염
bunch,다발
cite,인용하다
confusing,혼란시키는
credible,신뢰할 수 있는
democratic,민주적인
discount,할인하다
dump,버리다
entertainment,"환대,오락,연회"
extend,뻗다
forth,앞으로
hallway,"현관,복도"
inequality,불평등
ironical,반어적인
magnet,자석
misunderstand,오해하다
normal,정상의
ozone,오존
posture,자세
protection,보호
remarkable,헌저한
saw,톱
sociology,사회학
steam,증기
survival,생존
timetable,시간표
undertake,떠맡다
absorb,흡수하다
affair,"일, 사건"
beast,짐승
burden,부담
civil,시민의
confusion,혼란
credit,신용
demonstrate,논증하다
discourage,낙담시키다
durable,튼튼한
enthusiastic,열렬한
external,외부의
fortress,요새
harbor,항구
influence,"효과, 영향"
irresponsible,무책임한
magnitude,"크기, 진도"
misuse,오용하다
notice,"주의하다,알아채다"
partial,"부분의, 불완전한"
potential,"가능성, 잠재력"
protest,항의하다
remedy,치료
scarcely,거의 ~않다
solar,태양의
stir,휘젓다
suspect,의심하다
timid,겁 많은
unfaithful,불성실한
warrior,전사
absurd,어리석은
affection,애정
artificial,인공적인
beg,"간청하다, 빌다"
calculate,계산하다
clarity,명로
conquest,정복
creep,기다
demonstration,논증
discovery,발견
dusk,황혼
equality,동등
extinct,멸종된
fortunate,운좋은
heal,고치다
influential,영향력 있는
isolate,"고립시키다, 격리시키다"
mainly,주로
mixture,혼합
nuclear,핵의
participate,참여하다
pottery,도자기
proverb,속담
remove,제가하다
scenery,"풍경,경치"
sold-out,품절된
stock,"주식, 저장"
suspend,"(일시)중지하다, 연기하다"
unification,통합
wasteful,낭비의
abundant,풍부한
afterlife,내세
artistic,"예술적인, 미술적인"
behavior,행동
campaign,캠페인
classic,고대의
criticism,비판
deny,"부정핟, 거절하다"
discrimination,차별
dynamic,동적인
equipment,"장비, 설비"
extinguisher,소화기
foundation,"창설, 기초, 근거"
healthful,건강에 좋은
informative,"유익한, 정보의"
jail,감옥
maintain,유지하다
mobile,이동성의
obey,따르다
particular,"특별한,특정의"
pound,파운드
province,"지방, 지역"
replacement,"교체, 교환"
scholarship,장학금
solid,"단단한, 고체의"
storage,저장소
suspicious,의심스러운
untidy,"단정치 못한, 지저분한"
watchful,"주의 깊은, 방심하지 않은"
academy,"학원, 학회, 학교"
agency,대리점
asleep,잠들어
belief,믿음
capacity,수용력
classify,분류하다
consent,동의하다
crosswalk,횡단보도
depict,그리다
disobey,거역하다
ease,완화시키다
error,"에러, 실수"
extreme,극도의
foundtain,"분수, 분출하다"
heartless,"무정한, 냉혹한"
initial,처음의
jealous,질투가 많은
majority,"대다수, 대부분"
moderaion,"알맞음, 중용"
objection,반대
passion,열정
poverty,빈곤
psychologist,심리학자
representation,표현
scold,꾸짖다
solitary,고독한
strategy,전략
sustain,"더받치다, 유지하다"
tolerate,"너그럽게 봐주다, 참다"
untie,풀다
weaken,악화시키다
acceleration,"가속, 촉진"
agreement,"일치, 합의"
aspect,"모양, 관점, 양상"
belong,속하다
consequence,결과
deposit,예금하다
disorder,무질서
easygoing,태평스러운
erupption,"폭발,분출"
factor,"요인, 요소"
freeway,고속도로
hidden,숨겨진
injure,다치게하다
journal,"정기 간행물, 잡지, 신문"
manage,관리하다
modify,"바꾸다, 수정하다"
objective,"목표, 객관적인"
pastime,"기분전환, 오락"
praiseworthy,칭찬받을 만한
psychology,"심리학, 심리"
require,"필요로 하다, 요구하다"
scout,"스카우트하다, 수색하다"
sophomore,"4년제 학교의 2학년, 2년차"
stressful,스트레스가 많은
swear,멩세하다
tongue,혀
upbeat,낙관적인
wealthy,부유한
accidentally,"우연히, 실수로"
alert,"경계하다, 알림을 보내다"
assign,"할당하다, 지정하다"
beneath,아래쪽에
capsule,"캡슐, 작은 용기"
clip,"자르다, 쥐다, 클립"
conserve,보존하다
crust,"빵의 껍질, 외피"
depressing,"칭울하게 만드는, 억압적인"
disposable,"일회용의, 일회용물품"
economic,경제의
essential,"근본적인, 필수의"
faith,신뢰할 수 있는
frightening,"깜작 놀래키는, 겁주는"
hinder,방해하다
injury,"상해, 손해 , 부상"
judgment,"판단, 해결"
manual,"안내문, 소책자"
moisture,습기
observe,"보다, 관찰하다"
pasture,목초지
precede,앞서다
punish,벌주다
resident,거주자
scrape,문지르다
strict,엄격한
syllable,음절
tourism,관광
upward,위로 향한
weep,눈물을 흘리다
accompany,"~에 동반하다, 수반하다"
algebra,대수학
assistant,조수
benefit,이익
carbohydrate,탄수화물
cide,"암호, 암호로 하다"
crystal,"크리스탈, 보석"
description,묘사
disrupt,붕괴시키다
economical,경제적인
